,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,HON200918P00055000,1585584320,55.0,2.0,0.44,1.4,0.0,0.0,,20,0.8520522607421875,False,REGULAR,USD
1,HON200918P00065000,1586188771,65.0,1.85,0.87,2.31,0.0,0.0,1.0,6,0.8083515258789062,False,REGULAR,USD
2,HON200918P00070000,1585770282,70.0,3.0,1.02,2.6,0.0,0.0,50.0,124,0.7661156201171876,False,REGULAR,USD
3,HON200918P00075000,1586375253,75.0,2.16,1.33,2.71,0.0,0.0,1.0,31,0.7231472998046875,False,REGULAR,USD
4,HON200918P00080000,1585673278,80.0,3.86,1.67,3.9,0.0,0.0,,1,0.7242459216308592,False,REGULAR,USD
5,HON200918P00085000,1586179811,85.0,3.45,2.1,3.4,0.0,0.0,1.0,63,0.6610141320800782,False,REGULAR,USD
6,HON200918P00090000,1586449252,90.0,3.2,2.63,5.1,-0.3499999,-9.859152,2.0,63,0.6726106958007814,False,REGULAR,USD
7,HON200918P00095000,1586462174,95.0,3.9,3.25,4.4,-0.52999973,-11.963877,1.0,174,0.6114540808105471,False,REGULAR,USD
8,HON200918P00100000,1586276552,100.0,4.9,4.0,6.4,0.0,0.0,5.0,43,0.6224402990722657,False,REGULAR,USD
9,HON200918P00105000,1586276540,105.0,5.85,4.85,6.2,0.0,0.0,4.0,76,0.5782512878417969,False,REGULAR,USD
10,HON200918P00110000,1586375402,110.0,6.85,4.7,8.05,0.0,0.0,4.0,49,0.5549971258544923,False,REGULAR,USD
11,HON200918P00115000,1586366885,115.0,8.55,5.85,9.15,0.0,0.0,50.0,85,0.5382736602783205,False,REGULAR,USD
12,HON200918P00120000,1586448742,120.0,8.15,7.05,9.5,-3.5500002,-30.34188,55.0,132,0.5053760400390624,False,REGULAR,USD
13,HON200918P00125000,1586281981,125.0,11.27,9.55,11.75,0.0,0.0,7.0,1047,0.5197191583251952,False,REGULAR,USD
14,HON200918P00130000,1586449664,130.0,11.33,10.6,13.4,-1.7200003,-13.1800785,18.0,141,0.5366867620849609,False,REGULAR,USD
15,HON200918P00135000,1586374311,135.0,15.2,12.1,15.15,0.0,0.0,74.0,136,0.5181932946777343,False,REGULAR,USD
16,HON200918P00140000,1586449664,140.0,15.0,13.55,16.75,-2.3500004,-13.54467,1.0,604,0.49121602539062503,False,REGULAR,USD
17,HON200918P00145000,1586277942,145.0,18.89,17.1,18.0,0.0,0.0,11.0,210,0.45062805236816406,True,REGULAR,USD
18,HON200918P00150000,1586281698,150.0,22.41,17.9,22.05,0.0,0.0,10.0,127,0.4787039434814453,True,REGULAR,USD
19,HON200918P00155000,1585060014,155.0,45.85,20.4,23.95,0.0,0.0,3.0,86,0.444768735961914,True,REGULAR,USD
20,HON200918P00160000,1585162258,160.0,34.34,23.75,27.35,0.0,0.0,1.0,44,0.44501287414550783,True,REGULAR,USD
21,HON200918P00165000,1583425863,165.0,35.64,40.25,43.25,0.0,0.0,13.0,84,0.7338893798828124,True,REGULAR,USD
22,HON200918P00170000,1584628094,170.0,59.81,30.8,34.0,0.0,0.0,20.0,74,0.4256038885498047,True,REGULAR,USD
23,HON200918P00175000,1584546004,175.0,65.22,34.4,38.05,0.0,0.0,4.0,85,0.4293269958496094,True,REGULAR,USD
24,HON200918P00180000,1586185414,180.0,49.15,39.3,41.7,0.0,0.0,5.0,117,0.41583836120605466,True,REGULAR,USD
25,HON200918P00185000,1580482642,185.0,16.7,25.75,29.8,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
26,HON200918P00190000,1585149452,190.0,64.0,47.9,50.55,0.0,0.0,4.0,35,0.4274959594726563,True,REGULAR,USD
27,HON200918P00195000,1584991802,195.0,96.2,51.3,55.8,0.0,0.0,1.0,41,0.4606377178955079,True,REGULAR,USD
28,HON200918P00200000,1584991802,200.0,101.18,56.3,60.2,0.0,0.0,1.0,1,0.4598442687988281,True,REGULAR,USD
